sample_type,label,max_drawdown
random_same_length,MR_1998_011,-0.008274894412167333
mercury_retrograde,MR_1998_012,-0.044667527258537953
random_same_length,MR_1998_012,-0.049329871695442784
random_same_length,MR_1998_012,-0.04278974468970964
random_same_length,MR_1998_012,-0.008484273204814374
random_same_length,MR_1998_012,-0.018113470915933294
random_same_length,MR_1998_012,-0.022314338384895493
random_same_length,MR_1998_012,-0.039209498147412924
random_same_length,MR_1998_012,-0.04065643912372796
random_same_length,MR_1998_012,-0.028146085065056226
random_same_length,MR_1998_012,-0.022363878081596122
random_same_length,MR_1998_012,-0.0599805203421967
random_same_length,MR_1998_012,-0.021797630473245233
random_same_length,MR_1998_012,-0.011695818978382344
random_same_length,MR_1998_012,-0.005053763956545887
random_same_length,MR_1998_012,-0.06738650420612258
random_same_length,MR_1998_012,-0.039212237900728364
random_same_length,MR_1998_012,-0.003038961131093032
random_same_length,MR_1998_012,-0.011509507575225841
random_same_length,MR_1998_012,-0.037295524434246996
random_same_length,MR_1998_012,-0.007054639376351202
random_same_length,MR_1998_012,-0.00959800962597801
mercury_retrograde,MR_1998_013,-0.03538445141968316
random_same_length,MR_1998_013,-0.030632740074721054
random_same_length,MR_1998_013,-0.020932674991784195
random_same_length,MR_1998_013,-0.02201950270651909
random_same_length,MR_1998_013,-0.012492897726459007
random_same_length,MR_1998_013,-0.022556874675647598
random_same_length,MR_1998_013,-0.02252519051831048
random_same_length,MR_1998_013,-0.01580485144054422
random_same_length,MR_1998_013,-0.07732707149243478
random_same_length,MR_1998_013,-0.026439280826049072
random_same_length,MR_1998_013,-0.024932028015115515
random_same_length,MR_1998_013,-0.00759532145355013
random_same_length,MR_1998_013,-0.08140490303348902
random_same_length,MR_1998_013,-0.025219256373451904
random_same_length,MR_1998_013,-0.021029077492242254
random_same_length,MR_1998_013,-0.032060226679016646
random_same_length,MR_1998_013,-0.06394929347413658
random_same_length,MR_1998_013,-0.014893039628358085
random_same_length,MR_1998_013,-0.01874937888421624
random_same_length,MR_1998_013,-0.015862145960052088
random_same_length,MR_1998_013,-0.030818182700585894
mercury_retrograde,MR_1999_014,-0.04132773701092374
random_same_length,MR_1999_014,-0.005922425492665528
random_same_length,MR_1999_014,-0.06287690053123285
random_same_length,MR_1999_014,-0.01478752373022263
random_same_length,MR_1999_014,-0.01979155193373494
random_same_length,MR_1999_014,-0.012485456268501505
random_same_length,MR_1999_014,-0.011149947134073246
random_same_length,MR_1999_014,-0.13852577277513412
random_same_length,MR_1999_014,-0.014799936551350257
random_same_length,MR_1999_014,-0.019653486300597045
random_same_length,MR_1999_014,-0.003708760911961373
random_same_length,MR_1999_014,-0.01946852724251702
