market,period,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar,buy_hold_ann_return,excess_ann_return_vs_bh
SOX,2020-2022,36,0.18767752151899542,0.22473838797897538,0.8350932976192431,-0.26010788991897305,0.5277777777777778,0.721537211260525,0.1103673722719909,0.07731014924700452
SOX,2023-present,41,0.3323496802836807,0.29760709372504635,1.1167397797000511,-0.22699396137550287,0.4878048780487805,1.4641344565721466,0.5845027693489622,-0.25215308906528144
VIX,1990-2000,131,-0.0828503902459573,0.3587131625998121,-0.23096557050064798,-0.723801402012687,0.16793893129770993,-0.11446563935296866,0.005243563567017828,-0.08809395381297513
VIX,2001-2012,144,-0.20347782223133526,0.3733131277122113,-0.5450593807893013,-0.9432738464358771,0.16666666666666666,-0.21571447464611487,-0.03268584765707039,-0.17079197457426487
VIX,2013-2019,84,-0.009853276356581064,0.7372759969543936,-0.013364433939642508,-0.6166559007951647,0.20238095238095238,-0.0159785649401481,-0.03759838194632903,0.027745105589747965
VIX,2020-2022,36,-0.09750912738380335,0.8055662846758372,-0.12104420112746075,-0.6376541037207192,0.3333333333333333,-0.15291852873656178,0.162884462562356,-0.26039358994615935
VIX,2023-present,41,0.24013275606858553,0.41514013950712103,0.5784378170554294,-0.3781376849297996,0.2682926829268293,0.6350405305759611,-0.07341525716946795,0.3135480132380535
US10Y,1990-2000,132,-0.016829968116135352,0.07482973230620375,-0.2249101740370661,-0.2922423329945595,0.18181818181818182,-0.057589083496841185,-0.03916283320293368,0.022332865086798326
US10Y,2001-2012,144,-0.0529019460187129,0.11911314387796071,-0.4441318925551528,-0.49686566538876276,0.09722222222222222,-0.10647132555903377,-0.08516669375419139,0.032264747735478494
US10Y,2013-2019,84,-0.03711538683994453,0.15137160336916292,-0.24519385415656894,-0.4715127550701427,0.25,-0.0787155521051031,0.012761558671080753,-0.049876945511025284
US10Y,2020-2022,36,0.3048437425418309,0.32662671136152477,0.9333092853034193,-0.2903780491052135,0.3611111111111111,1.0498167595009085,0.26439158699369525,0.04045215554813564
US10Y,2023-present,41,-0.03465582511306897,0.18387563600880377,-0.1884742637214301,-0.326204134291067,0.2926829268292683,-0.1062396869628455,0.04834389950851814,-0.08299972462158711
